time,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4,2023q1,2023q2,2023q3,2023q4,2024q1,2024q2,2024q3,2024q4,2025q1,2025q2,2025q3,2025q4,2026q1
1988-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104555.198354209,104555.198354209,104555.198354209,104555.198354209,104555.198354209,104555.198354209,104555.198354209,104555.198354209,105052.290988093,105052.290988093,105052.290988093,105052.290988093,105052.290988093,105052.290988093,105052.290988093,105052.290988093,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,104794.348364313,106093.615265573,106096.873939173,106096.766322024
1988-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106016.040925035,106016.040925035,106016.040925035,106016.040925035,106016.040925035,106016.040925035,106016.040925035,106016.040925035,106890.823377863,106890.823377863,106890.823377863,106890.823377863,106890.823377863,106890.823377863,106890.823377863,106890.823377863,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,106803.72702922,107874.940677159,107878.254064313,107878.144640268
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106483.810155592,106483.810155592,106483.810155592,106483.810155592,106483.810155592,106483.810155592,106483.810155592,106483.810155592,107230.475780199,107230.475780199,107230.475780199,107230.475780199,107230.475780199,107230.475780199,107230.475780199,107230.475780199,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,107293.695957813,108382.896495809,108386.225484873,108386.115545593
1989-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108220.961958732,108220.961958732,108220.961958732,108220.961958732,108220.961958732,108220.961958732,108220.961958732,108220.961958732,109171.030348795,109171.030348795,109171.030348795,109171.030348795,109171.030348795,109171.030348795,109171.030348795,109171.030348795,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,108982.362438702,110196.188864311,110199.573548788,110199.461770173
1989-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109367.072041468,109367.072041468,109367.072041468,109367.072041468,109367.072041468,109367.072041468,109367.072041468,109367.072041468,109951.74806764,109951.74806764,109951.74806764,109951.74806764,109951.74806764,109951.74806764,109951.74806764,109951.74806764,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,109637.677235513,111153.945173694,111157.359275718,111157.246525569
1989-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110823.097519528,110823.097519528,110823.097519528,110823.097519528,110823.097519528,110823.097519528,110823.097519528,110823.097519528,111402.746278821,111402.746278821,111402.746278821,111402.746278821,111402.746278821,111402.746278821,111402.746278821,111402.746278821,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,111008.822864129,112186.809945025,112190.255771546,112190.141973658
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112531.166978565,112531.166978565,112531.166978565,112531.166978565,112531.166978565,112531.166978565,112531.166978565,112531.166978565,113317.452653284,113317.452653284,113317.452653284,113317.452653284,113317.452653284,113317.452653284,113317.452653284,113317.452653284,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,113358.813483611,114397.204869137,114400.718588074,114400.602547984
1990-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112861.212090563,112861.212090563,112861.212090563,112861.212090563,112861.212090563,112861.212090563,112861.212090563,112861.212090563,113978.585320613,113978.585320613,113978.585320613,113978.585320613,113978.585320613,113978.585320613,113978.585320613,113978.585320613,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,113699.490137281,114875.95221656,114879.480640268,114879.364114574
1990-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112580.233352317,112580.233352317,112580.233352317,112580.233352317,112580.233352317,112580.233352317,112580.233352317,112580.233352317,113561.98647377,113561.98647377,113561.98647377,113561.98647377,113561.98647377,113561.98647377,113561.98647377,113561.98647377,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,113226.737368125,114811.637373516,114815.163821844,114815.047361489
1990-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112430.093288514,112430.093288514,112430.093288514,112430.093288514,112430.093288514,112430.093288514,112430.093288514,112430.093288514,113071.186992017,113071.186992017,113071.186992017,113071.186992017,113071.186992017,113071.186992017,113071.186992017,113071.186992017,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,112858.825731453,114147.972235357,114151.478299259,114151.362512282
