"stage","series","frequency","date","time_index","value"
"transformed","SWGBOND.",12,2002-12-01,2002.91666666667,-1.10305555555556
"transformed","SWGBOND.",12,2003-01-01,2003,-1.06472222222222
"transformed","SWGBOND.",12,2003-02-01,2003.08333333333,-1.04333333333333
"transformed","SWGBOND.",12,2003-03-01,2003.16666666667,-0.838333333333333
"transformed","SWGBOND.",12,2003-04-01,2003.25,-0.678888888888888
"transformed","SWGBOND.",12,2003-05-01,2003.33333333333,-0.928055555555555
"transformed","SWGBOND.",12,2003-06-01,2003.41666666667,-0.639166666666667
"transformed","SWGBOND.",12,2003-07-01,2003.5,-0.542777777777778
"transformed","SWGBOND.",12,2003-08-01,2003.58333333333,-0.306111111111111
"transformed","SWGBOND.",12,2003-09-01,2003.66666666667,-0.373611111111111
"transformed","SWGBOND.",12,2003-10-01,2003.75,-0.244444444444444
"transformed","SWGBOND.",12,2003-11-01,2003.83333333333,-0.112777777777777
"transformed","SWGBOND.",12,2003-12-01,2003.91666666667,-0.301388888888889
"transformed","SWGBOND.",12,2004-01-01,2004,-0.213333333333333
"transformed","SWGBOND.",12,2004-02-01,2004.08333333333,-0.360833333333333
"transformed","SWGBOND.",12,2004-03-01,2004.16666666667,-0.391388888888889
"transformed","SWGBOND.",12,2004-04-01,2004.25,-0.191388888888889
"transformed","SWGBOND.",12,2004-05-01,2004.33333333333,-0.0927777777777776
"transformed","SWGBOND.",12,2004-06-01,2004.41666666667,0.0666666666666669
"transformed","SWGBOND.",12,2004-07-01,2004.5,-0.00222222222222213
"transformed","SWGBOND.",12,2004-08-01,2004.58333333333,-0.118611111111111
"transformed","SWGBOND.",12,2004-09-01,2004.66666666667,-0.183333333333333
"transformed","SWGBOND.",12,2004-10-01,2004.75,-0.3025
"transformed","SWGBOND.",12,2004-11-01,2004.83333333333,-0.459722222222222
"transformed","SWGBOND.",12,2004-12-01,2004.91666666667,-0.486944444444444
"transformed","SWGBOND.",12,2005-01-01,2005,-0.579722222222222
"transformed","SWGBOND.",12,2005-02-01,2005.08333333333,-0.415555555555556
"transformed","SWGBOND.",12,2005-03-01,2005.16666666667,-0.4
"transformed","SWGBOND.",12,2005-04-01,2005.25,-0.649444444444444
"transformed","SWGBOND.",12,2005-05-01,2005.33333333333,-0.668888888888889
"transformed","SWGBOND.",12,2005-06-01,2005.41666666667,-0.642777777777778
"transformed","SWGBOND.",12,2005-07-01,2005.5,-0.646944444444444
"transformed","SWGBOND.",12,2005-08-01,2005.58333333333,-0.641944444444444
"transformed","SWGBOND.",12,2005-09-01,2005.66666666667,-0.599444444444445
"transformed","SWGBOND.",12,2005-10-01,2005.75,-0.428333333333333
"transformed","SWGBOND.",12,2005-11-01,2005.83333333333,-0.331111111111111
"transformed","SWGBOND.",12,2005-12-01,2005.91666666667,-0.538888888888889
"transformed","SWGBOND.",12,2006-01-01,2006,-0.341944444444444
"transformed","SWGBOND.",12,2006-02-01,2006.08333333333,-0.238333333333333
"transformed","SWGBOND.",12,2006-03-01,2006.16666666667,0.0322222222222224
"transformed","SWGBOND.",12,2006-04-01,2006.25,0.259722222222222
"transformed","SWGBOND.",12,2006-05-01,2006.33333333333,0.200277777777778
"transformed","SWGBOND.",12,2006-06-01,2006.41666666667,0.343611111111112
"transformed","SWGBOND.",12,2006-07-01,2006.5,0.231666666666667
"transformed","SWGBOND.",12,2006-08-01,2006.58333333333,0.0508333333333333
"transformed","SWGBOND.",12,2006-09-01,2006.66666666667,-0.117777777777778
"transformed","SWGBOND.",12,2006-10-01,2006.75,0.0227777777777778
"transformed","SWGBOND.",12,2006-11-01,2006.83333333333,-0.119166666666667
"transformed","SWGBOND.",12,2006-12-01,2006.91666666667,0.0388888888888892
"transformed","SWGBOND.",12,2007-01-01,2007,0.175277777777778
"transformed","SWGBOND.",12,2007-02-01,2007.08333333333,0.118611111111111
"transformed","SWGBOND.",12,2007-03-01,2007.16666666667,0.256666666666667
"transformed","SWGBOND.",12,2007-04-01,2007.25,0.356944444444444
"transformed","SWGBOND.",12,2007-05-01,2007.33333333333,0.583055555555555
"transformed","SWGBOND.",12,2007-06-01,2007.41666666667,0.738888888888889
"transformed","SWGBOND.",12,2007-07-01,2007.5,0.654722222222222
"transformed","SWGBOND.",12,2007-08-01,2007.58333333333,0.588611111111111
"transformed","SWGBOND.",12,2007-09-01,2007.66666666667,0.59
"transformed","SWGBOND.",12,2007-10-01,2007.75,0.509722222222223
"transformed","SWGBOND.",12,2007-11-01,2007.83333333333,0.416666666666667
"transformed","SWGBOND.",12,2007-12-01,2007.91666666667,0.596388888888889
"transformed","SWGBOND.",12,2008-01-01,2008,0.407222222222222
"transformed","SWGBOND.",12,2008-02-01,2008.08333333333,0.508333333333333
"transformed","SWGBOND.",12,2008-03-01,2008.16666666667,0.459722222222222
"transformed","SWGBOND.",12,2008-04-01,2008.25,0.637222222222222
"transformed","SWGBOND.",12,2008-05-01,2008.33333333333,0.641944444444444
"transformed","SWGBOND.",12,2008-06-01,2008.41666666667,0.616111111111111
"transformed","SWGBOND.",12,2008-07-01,2008.5,0.4625
"transformed","SWGBOND.",12,2008-08-01,2008.58333333333,0.204444444444444
"transformed","SWGBOND.",12,2008-09-01,2008.66666666667,-0.0855555555555556
"transformed","SWGBOND.",12,2008-10-01,2008.75,-0.0138888888888893
"transformed","SWGBOND.",12,2008-11-01,2008.83333333333,-0.545277777777778
"transformed","SWGBOND.",12,2008-12-01,2008.91666666667,-0.630555555555556
"transformed","SWGBOND.",12,2009-01-01,2009,-0.5625
"transformed","SWGBOND.",12,2009-02-01,2009.08333333333,-0.610277777777778
"transformed","SWGBOND.",12,2009-03-01,2009.16666666667,-0.590833333333333
"transformed","SWGBOND.",12,2009-04-01,2009.25,-0.555555555555555
"transformed","SWGBOND.",12,2009-05-01,2009.33333333333,-0.211111111111111
"transformed","SWGBOND.",12,2009-06-01,2009.41666666667,-0.260833333333333
"transformed","SWGBOND.",12,2009-07-01,2009.5,-0.535555555555555
"transformed","SWGBOND.",12,2009-08-01,2009.58333333333,-0.593611111111111
"transformed","SWGBOND.",12,2009-09-01,2009.66666666667,-0.547777777777778
"transformed","SWGBOND.",12,2009-10-01,2009.75,-0.489722222222222
"transformed","SWGBOND.",12,2009-11-01,2009.83333333333,-0.690277777777778
"transformed","SWGBOND.",12,2009-12-01,2009.91666666667,-0.705833333333333
"transformed","SWGBOND.",12,2010-01-01,2010,-0.648888888888889
"transformed","SWGBOND.",12,2010-02-01,2010.08333333333,-0.711388888888889
"transformed","SWGBOND.",12,2010-03-01,2010.16666666667,-0.680277777777778
