"date","out.ch","out_incl_losses.ch","in.ch"
2009-07-13,142771905.059,160734424.139,222967953.183
2009-07-14,147212239.678,166859794.8785,219683836.438
2009-07-15,147438291.759,167102048.90075,229627178.778
2009-07-16,146810373.113,166749636.72675,232376222.38
2009-07-17,144013794.256,163687378.622,237387744.324
2009-07-18,117976148.456,146714175.142,219443024.22
2009-07-19,105495258.983,132365909.593,209706019.132
2009-07-20,132661420.511,151722670.38825,221582611.773
2009-07-21,136707226.601,153270171.11025,236323786.951
2009-07-22,139702622.716,156986844.033,236919193.248
2009-07-23,140379321.033,158955991.65575,233860271.638
2009-07-24,134354206.978,153487470.81725,230313758.746
2009-07-25,114102104.777,139437471.37575,212371887.334
2009-07-26,102893598.928,124493751.50975,204507895.988
2009-07-27,130886555.108,148908565.2115,228646051.012
2009-07-28,132313334.944,150212583.868,228074264.029
2009-07-29,132371747.958,149687655.9325,229382961.527
2009-07-30,133828837.903,152295009.5735,228541254.233
2009-07-31,129072685.002,146271236.12725,233590589.059
2009-08-01,106301019.483,123981638.74225,213024066.827
2009-08-02,105138602.687,126889678.22975,201578007.132
2009-08-03,131308718.019,149326881.84225,231654802.261
2009-08-04,131971044.713,149169532.955,220823987.988
2009-08-05,132024756.671,148294191.66675,215291173.165
2009-08-06,134461439.85,151861345.03175,225877916.438
2009-08-07,136327334.153,154196721.50475,215847528.057
2009-08-08,120046056.265,137134559.083,189400514.375
2009-08-09,107812174.253,128681390.70575,150978621.529
2009-08-10,140372668.983,158767125.7945,188570746.741
2009-08-11,142260543.592,160579065.66175,190658344.5145
2009-08-12,142382802.028,159857215.338,188066020.778
2009-08-13,143615899.266,160358624.40525,192754804.909
2009-08-14,142033873.05,157331808.74475,194606921.04
2009-08-15,119598809.498,134338093.4515,166335384.371
2009-08-16,110517083.659,129219391.81975,152626298.229
2009-08-17,145327211.815,161507524.25675,188583883.75
2009-08-18,149767101.894,166732285.61875,179517818.947
2009-08-19,151080016.626,167340272.39625,174453722.056
2009-08-20,152314094.301,169981561.4435,172567723.97
2009-08-21,150755516.555,168804866.109,171902762.534
2009-08-22,124596714.637,141619270.7975,151161982.593
2009-08-23,111644104.104,132974602.5565,139563998.933
2009-08-24,147997479.252,166597047.21275,172373060.114
2009-08-25,153720740.575,171965794.11875,178064363.686
2009-08-26,151430866.768,171157220.236,174862077.13
2009-08-27,150539113.158,169231040.135,168966318.693
2009-08-28,148923245.661,167021077.1255,159646296.137
2009-08-29,122519491.738,139957206.324,148642115.103
2009-08-30,109897095.633,135337024.1065,133464514.659
2009-08-31,144723927.037,163332635.091,161737878.26
2009-09-01,152508168.643,170573113.82075,170639698.296
2009-09-02,154775387.131,172568174.664,184844210.503
2009-09-03,153975930.218,174102554.4835,185507070.595
2009-09-04,151162686.021,170518528.5145,187714485.972
2009-09-05,125410888.442,143279589.22775,173234202.402
2009-09-06,113230030.681,129980065.6765,166070278.6
2009-09-07,146678426.253,161440480.115,183157188.843
2009-09-08,151243640.018,166298480.97975,183474677.466
