"date","ch.ozd.e.wa.index.re.d11","ch.ozd.i.wa.index.re.d11","ch.ozd.e.total.index.re.d11","ch.ozd.i.total.index.re.d11","ch.cpa.e.real.index.sa.2012","ch.cpa.i.real.index.sa.2012"
"2001-11-01",120.94042579823,115.251186002923,121.666562343139,116.029596073874,NA,NA
"2001-12-01",119.476718286654,114.59795654633,123.225017517863,110.957946646706,NA,NA
"2002-01-01",131.050897062311,124.435526818342,126.829532602193,122.789356856583,NA,NA
"2002-02-01",126.533206023267,130.790111614908,129.109723367724,128.317737632782,NA,NA
"2002-03-01",133.685207495667,129.646426311726,130.66548816332,125.406150734343,NA,NA
"2002-04-01",127.628424464334,129.321365626483,129.600198967774,129.503269526847,NA,NA
"2002-05-01",127.332911928029,122.015074833135,129.766415669418,120.864821745858,NA,NA
"2002-06-01",135.026477244353,131.305621090162,132.153653788066,133.275281913402,NA,NA
"2002-07-01",129.747066987809,127.65776058251,131.362285379382,126.434443475913,NA,NA
"2002-08-01",128.181478254731,117.805134465295,129.983948934945,116.649106902377,NA,NA
"2002-09-01",130.032077572586,122.118141467085,130.08929960378,120.367651524811,NA,NA
"2002-10-01",128.499006686638,122.878949223897,129.55479686891,122.950968391133,NA,NA
"2002-11-01",126.957020788709,118.403985793752,127.826791716247,118.59740167419,NA,NA
"2002-12-01",127.140167952056,116.100773437299,126.187236270022,116.485130426488,NA,NA
"2003-01-01",123.707295999073,130.64588743325,125.789607062043,128.725824165286,NA,NA
"2003-02-01",129.91532909112,124.669880875056,126.641169897073,122.14462058124,NA,NA
"2003-03-01",125.63514700226,123.044578256481,125.999049294285,119.483502855012,NA,NA
"2003-04-01",125.633057924549,123.419721010375,126.639458002337,119.887682145252,NA,NA
"2003-05-01",129.047387778038,119.487601165497,127.51772743765,117.334587305574,NA,NA
"2003-06-01",124.135028749822,118.578830850399,126.909113400433,118.832096309418,NA,NA
"2003-07-01",128.582154452593,129.142980392637,126.374627359199,126.588290796666,NA,NA
"2003-08-01",123.504656204451,118.453476868728,127.297258329683,116.052829404731,NA,NA
"2003-09-01",132.827225728628,124.757811820832,130.742204730515,121.873661194878,NA,NA
"2003-10-01",135.469113753821,126.1858711033,133.618991525108,126.616813695142,NA,NA
"2003-11-01",137.14961488621,129.911448377461,133.828072222618,129.339602844698,NA,NA
"2003-12-01",131.060572294583,128.49986317223,133.144891378306,124.63196117218,NA,NA
"2004-01-01",134.877775053656,126.057225667063,134.432089139159,124.804357004145,NA,NA
"2004-02-01",139.658848220262,127.890476729335,136.962638964395,127.154507910368,NA,NA
"2004-03-01",137.015007675724,129.059038298291,137.500972564326,126.96151307569,NA,NA
"2004-04-01",138.488881268631,134.038282696422,137.379204203665,131.147899613539,NA,NA
"2004-05-01",135.583836764493,126.62537397803,137.279000099181,123.720314398017,NA,NA
"2004-06-01",139.927181377479,135.047312953717,138.40351417618,132.441105055221,NA,NA
"2004-07-01",137.595192331839,132.5001149668,138.437501448947,130.44961442993,NA,NA
"2004-08-01",141.553607496424,136.132447992272,139.024372764939,133.19081336196,NA,NA
"2004-09-01",140.580569267187,137.896691007581,140.118264673529,135.817236175979,NA,NA
"2004-10-01",142.046346496526,136.900237909666,140.914872039143,134.498205740226,NA,NA
"2004-11-01",140.143464091146,131.531163258156,140.611365717716,132.028544414319,NA,NA
"2004-12-01",138.865144402814,135.267328316796,141.19423377931,131.740498932156,NA,NA
"2005-01-01",146.206326266538,136.094048908007,142.474916214972,135.029550802533,NA,NA
"2005-02-01",142.119026870005,142.943748354146,143.226178874851,143.809484914483,NA,NA
"2005-03-01",143.775045173768,140.459308678118,143.993169037909,136.787712311052,NA,NA
"2005-04-01",148.211350654255,144.736647093233,144.900144242257,142.347538852075,NA,NA
"2005-05-01",145.145192004593,137.319709858492,146.393225281115,136.468684126766,NA,NA
"2005-06-01",153.151889712141,141.333552654025,148.765862788308,139.242799735652,NA,NA
"2005-07-01",146.836517618597,145.860128583629,148.376330772673,143.294940571835,NA,NA
"2005-08-01",149.463449934922,147.711669797084,149.34621858291,144.470083114639,NA,NA
"2005-09-01",155.747043697936,148.650256981796,151.362593017249,146.445066017214,NA,NA
"2005-10-01",152.921866283163,149.153294894767,152.694291290567,147.129112671444,NA,NA
"2005-11-01",154.039618361308,152.714304499033,155.441322718077,154.67247897512,NA,NA
"2005-12-01",163.125053169174,155.962398961064,159.743362175577,155.074167023048,NA,NA
"2006-01-01",162.786082682856,155.61933779058,161.218682284585,156.572595704232,NA,NA
"2006-02-01",161.583178961694,155.262200141057,161.50127077653,155.252312569872,NA,NA
"2006-03-01",161.896801451549,153.065402833897,162.09346678264,152.691820147371,NA,NA
"2006-04-01",166.178415583764,158.817815008443,163.98764831862,157.16806527739,NA,NA
"2006-05-01",166.130561873745,159.56184166041,164.613708638085,160.192766090404,NA,NA
"2006-06-01",164.336319572152,159.230628747195,166.128789883451,159.901289577948,NA,NA
"2006-07-01",168.868249790602,159.205572816254,168.418033138447,158.423258689088,NA,NA
"2006-08-01",171.628060403083,161.64009429295,170.64061164056,158.6592690466,NA,NA
