"date","ch.fso.rtt.ind.r.noga0801.sa","ch.fso.rtt.ind.r.noga0803.sa","ch.fso.rtt.ind.r.noga0804.sa","ch.fso.rtt.ind.r.noga0805.sa","ch.fso.rtt.ind.r.noga0806.sa","ch.fso.rtt.ind.r.noga0807.sa","ch.fso.rtt.ind.r.noga0808.sa"
"2012-12",90.24,85.81,91.75,47.22,92.8,117.24,101.07
"2013-01",90.8,85.57,93.04,52,96.03,116.15,101.08
"2013-02",90.7,86.49,92.1,47.76,95.91,117.23,100.69
"2013-03",90.31,86.5,91.27,48.91,95.19,112.66,98.97
"2013-04",91.19,84.67,92.85,49.88,97.87,113.94,100.71
"2013-05",91.57,86.23,93.18,48.15,102.45,116.15,101.9
"2013-06",91.07,85.64,93.08,48.53,95.57,113.86,103.53
"2013-07",90.94,86.59,92.57,48.13,95.82,115.34,102.69
"2013-08",92.01,86.78,94.15,49.58,97.41,114.89,104.77
"2013-09",91.41,86.2,92.63,49.1,96.46,114.14,102.24
"2013-10",91.36,85.89,92.69,48.47,98.97,111.24,101.57
"2013-11",93.43,88.79,93.87,48.67,96.88,118.5,104.95
"2013-12",92.16,85.9,94.33,49.25,97.64,115.68,104.69
"2014-01",90.9,86.32,92.72,50.1,97.02,113.63,102.34
"2014-02",92.13,86.57,94.06,50.02,100.46,112.6,103.7
"2014-03",92.84,87.02,94.72,48.09,99,114.29,105.68
"2014-04",92.19,86.44,94.21,53.43,96.53,114.68,104.27
"2014-05",91.64,85.66,93.98,51.67,99.32,115.17,103.85
"2014-06",93.24,87.44,95.02,53.78,98.78,112.23,105.13
"2014-07",90.86,85.39,93.4,51.97,98.94,112.12,101.96
"2014-08",93.35,86.24,97.59,52.95,104.92,112.59,108.02
"2014-09",92.28,86.4,94.24,53.94,99.82,112.29,102.3
"2014-10",91.96,87.16,93.03,52.94,98.74,112.13,101.26
"2014-11",92.42,86.96,93.77,53.28,100.75,112.56,102.82
"2014-12",93.67,88.32,96.49,51.41,99.22,111.68,107.89
"2015-01",91.9,89.4,92.8,52.36,94.78,114.13,100.16
"2015-02",91.44,87.41,92.61,52.78,93.74,111.98,102.03
"2015-03",91.85,86.83,94.23,53.99,95.5,112.36,103.72
"2015-04",92.35,88.41,94.19,53.77,93.92,113.36,104.09
"2015-05",92.45,88.03,94.18,54.25,95.31,113.73,104.68
"2015-06",93.18,88.06,95.94,59.72,100.01,113.61,104.42
